Glucose	OC[C@H]1OC([C@@H]([C@H]([C@@H]1O)O)O)O
N-acetylglucosamine	O=C(C)N[C@@H]1[C@H]([C@@H]([C@@H](CO)OC1O)O)O
Mannose	OC(O1)[C@@H](O)[C@@H](O)[C@H](O)[C@H]1CO
Gulose	O[C@H](C(O)O1)[C@@H](O)[C@H](O)[C@@H]1CO
L-aculose	CC1O[C@H](C=CC1=O)O
L-cinerulose A	CC1O[C@H](CCC1=O)O
L-rhodinose	C[C@@H]1O[C@@H](CC[C@@H]1O)O
Rednose	CC1OC(C(N)=CC1=O)O
L-cinerulose B	CC1O[C@H]([C@@H](O)CC1=O)O
O-methyl-L-amicetose	COC1CC[C@@H](O[C@H]1C)O
4-O-methyl-L-rhodinose	CO[C@H]1CC[C@@H](O[C@H]1C)O
L-daunosamine	C[C@@H]1OC(C[C@@H]([C@@H]1O)N)O
L-ristosamine	CC1OC(CC(C1O)N)O
D-digitoxose	CC1OC(CC(C1O)O)O
L-digitoxose	CC1OC(CC(C1O)O)O
2-deoxy-L-fucose	CC1OC(CC(C1O)O)O
D-olivose	CC1O[C@@H](C[C@H]([C@@H]1O)O)O
D-oliose	CC1O[C@H](C[C@H]([C@H]1O)O)O
4-oxo-L-vancosamine	C[C@@H]1OC(C[C@](N)(C1=O)C)O
D-forosamine	CC1OC(CC[C@@H]1N(C)C)O
L-actinosamine	COC1C(OC(CC1N)O)C
L-vancosamine	OC1O[C@H]([C@@H](O)[C@](C1)(N)C)C
L-vicenisamine	CN[C@@H]1C(CC(OC1C)O)O
D-chalcose	CO[C@H]1C[C@H](OC([C@@H]1O)O)C
D-mycarose	CC1OC(C[C@](O)([C@H]1O)C)O
L-oleandrose	CO[C@H]1C[C@H](O[C@H]([C@@H]1O)C)O
Olivomose	COC1C(CC(OC1C)O)O
D-mycosamine	C[C@H]1O[C@H]([C@H]([C@H]([C@@H]1O)N)O)O
4-deoxy-4-thio-D-digitoxose	CC1O[C@H](C[C@H](C1S)O)O
D-fucofuranose	C[C@H]([C@H]1O[C@H]([C@H](C1O)O)O)O
D-fucose	CC1OC([C@@H]([C@H]([C@H]1O)O)O)O
L-rhamnose	C[C@@H]1O[C@@H]([C@@H]([C@@H]([C@H]1O)O)O)O
4-N-ethyl-4-amino-3-O-methoxy-2,4,5-trideoxypentose	CCN[C@H]1CO[C@H](C[C@H]1OC)O
D-3-N-methyl-4-O-methyl-L-ristosamine	CN[C@H]1CC(OC([C@@H]1OC)C)O
N,N-dimethyl-L-pyrrolosamine	CC1OC(CC(C1N(C)C)O)O
D-desosamine	C[C@@H]1C[C@H](N(C)C)[C@@H](O)[C@H](OO)O1
L-megosamine	C[C@@H]1OC(C[C@@H](N(C)C)[C@H]1O)O
Nogalamine	OC1O[C@@H](C)[C@H](O)[C@@H](N(C)C)[C@@H]1O
L-rhodosamine	CC1O[C@H](CC(N(C)C)[C@H]1O)O
D-angolosamine	C[C@@H]1OC(CC(N(C)C)[C@H]1O)O
Kedarosamine	OC1O[C@@H](C)[C@@H](N(C)C)[C@@H](O)C1
L-noviose	CC1(C)[C@H](O)[C@@H](O)[C@@H](O)C(O)O1
L-cladinose	C[C@H]1[C@H](O)[C@](C)(OC)CC(O)O1
2'-N-methyl-D-fucosamine	CN[C@H]1C(O[C@@H]([C@@H]([C@@H]1O)O)C)O
D-digitalose	CO[C@H]1[C@H]([C@H](O[C@H]([C@@H]1O)O)C)O
3-O-methyl-rhamnose	COC1[C@H]([C@H](OC([C@H]1O)O)C)O
2-O-methyl-rhamnose	COC1[C@@H](OC([C@@H](C1O)O)C)O
6-deoxy-3-C-methyl-L-mannose	C[C@@H]1OC([C@@H]([C@](O)([C@H]1O)C)O)O
4,6-dideoxy-4-hydroxylamino-D-glucose	CC1OC(C(C(C1NO)O)O)O
3-N,N-dimethyl-L-eremosamine	OC1C[C@](C)(N(C)C)[C@@H](O)[C@H](C)O1
Chromose (4-O-acetyl-beta-D-oliose)	CC1OC(CC(C1OC(C)=O)O)O
4-O-carbamoyl-D-olivose	CC1OC(CC(C1OC(N)=O)O)O
D-ravidosamine	C[C@H]1O[C@@H]([C@@H]([C@@H](N(C)C)[C@H]1O)O)O
3-N,N-dimethyl-D-mycosamine	C[C@H]1O[C@H]([C@@H]([C@@H](N(C)C)[C@@H]1O)O)O
2,3-O-dimethyl-L-rhamnose	COC1[C@@H](OC([C@@H](C1OC)O)C)O
2,4-O-dimethyl-L-rhamnose	CO[C@H]1C(O[C@H](C(C1O)OC)O)C
3,4-O-dimethyl-L-rhamnose	CO[C@H]1C(O[C@H](C(C1OC)O)O)C
2-thioglucose	OC1[C@H](S)[C@@H](O)[C@H](O)[C@@H](CO)O1
Olivomycose	C[C@@H]1O[C@H](C[C@](O)([C@H]1OC(C)=O)C)
4-N,N-dimethylamino-4-deoxy-5-C-methyl-l-rhamnose	CN(C1C(C(C(OC1(C)C)O)O)O)C
