#From Norine
arabinose	C1[C@@H]([C@@H]([C@H](C(O1)O)O)O)O
D-arabinose	C1[C@H]([C@H]([C@@H](C(O1)O)O)O)O
lyxose	C([C@H]([C@@H]([C@@H](C=O)O)O)O)O
L-actinosamine	CC1C(C(CC(O1)O)N)OC
L-ristosamine	C[C@@H]([C@@H]([C@@H](CC=O)N)O)O
L-acosamine	C[C@@H]([C@@H]([C@H](CC=O)N)O)O
L-eremosamine	CC1C(C(CC(O1)O)(C)N)O
L-Olivose	C[C@H]([C@H]([C@@H](CCO)O)O)O
D-mannose	C([C@@H]1[C@H]([C@@H]([C@@H](C(O1)O)O)O)O)O
D-galactose	C(C1C(C(C(C(O1)O)O)O)O)O
beta-D-galactose	C([C@@H]1[C@@H]([C@@H]([C@H]([C@@H](O1)O)O)O)O)O
L-glucose	C(C1C(C(C(C(O1)O)O)O)O)O
D-Glucose	C([C@@H]1[C@H]([C@@H]([C@H](C(O1)O)O)O)O)O
O-methyl-L-rhamnose	CC1C(C(C(C(O1)O)OC)O)O
L-rhamnose	CC(C(C(C(C=O)O)O)O)O
4-oxovancosamine	C1(C(C(CC(O1)O)(C)N)=O)C
ureido-4-oxovancosamine	C1(C2(C(CC(O1)O)(C)NC(N2)=O)O)C
L-vancosamine	C[C@@H]([C@H]([C@](C)(CC=O)N)O)O
#From Angela's March 31 list
2-deoxy-D-evalose	CCC(COC1CC2(C)OC(C)(O)OC2C(C)O1)OC
2-O-isobutyryl-L-lyxose	OC1COC(O)C(O)C1O
2-O-methyl-L-rhamnose	COC1[C@H](O)OC(C)[C@H](O)C1O
3-methoxy-L-rhamnose (3-O-methyl-rhamnose)	COC1[C@@H](O)[C@@H](C)OC(O)[C@H]1O
4-amino-3-O-methoxy-2,4,5-trideoxypentose	CO[C@@H]1C[C@H](O)OC[C@@H]1N
4-deoxy-4-dimehtylamino-5,5-dimethyl-D-ribopyranose	CN(C)C1C(O)C(O)C(O)OC1(C)C
4-hydroxyamino-6-deoxy-alpha-D-glucose (4,6-dideoxy-4-hydroxylamino-D-glucose)	CC1OC(O)C(O)C(O)C1NO
