NAME	SMILE Format
Astin E	CCC(NC(CC(NC(C(CO)NC(C(C(O)C)NC(C1N2C(Cl)=CC1)=O)=O)=O)C3=CC=CC=C3)=O)C2=O
Geodiamolide A	O=C(NC(C)C(OC(C)CC(C)/C=C(C)/CC(C)C(NC(C1=O)C)=O)=O)C(N1C)CC(C=C2Cl)=CC=C2O
Raocyclamide A	O=C(C1=CSC(C(NC(C2=COC3=N2)=O)C(C)CC)=N1)NC(CC4=CC=CC=C4)C5=NC(C(NC3C)=O)CO5
Aphelandrine	OC1=CC=C(C(C2C(N3CCCCN(OC(C)=O)CCCNC4CC(NCCC3)=O)=O)OC5=C2C=C4C=C5)C=C1
Frangufoline	CC(C(C(C(NC1C(O)C(C)C)=O)NC(C(N(C)C)CC2=CC=CC=C2)=O)OC3=CC=C(/C=C\NC1=O)C=C3)C
Scutianine C	CC(C(C(C(NC1C(C2=CC=CC=C2)O)=O)NC(C(N(C)C)C(CC)C)=O)OC(C=C3)=CC=C3/C=C\NC1=O)C
Bulgecin A; beta-Lactam activator F2	O=S(O[C@H]1[C@H](O)[C@@H](NC(C)=O)[C@H](O[C@@H]2[C@@H](CO)N[C@H](C(NCCS(=O)(O)=O)=O)C2)O[C@@H]1CO)(O)=O
Bulgecin A	O=C(C)NC1C(OC(CO)C(OS(O)(=O)=O)C1O)OC2CC(C(NCCS(O)(=O)=O)=O)NC2CO
Jacpaniculine	OC1=CC=C(C=C1OC)C2C(C(C(C3=CC(OC)=C(O)C=C3)O2)C(NCCC4=CC=C(O)C=C4)=O)COC(C)=O
Jacpaniculine	OC1=CC=C(C=C1OC)C2C(C(C(C3=CC(OC)=C(O)C=C3)O2)C(NCCC4=CC=C(O)C=C4)=O)COC(C)=O
N-[14-Methyl-3-(13-methyl-4Z-tetradecenoyloxy)-pentadecanoyl]glycine	O=C(NCC(O)=O)C[C@H](CCCCCCCCCCC(C)C)OC(CC/C=C\CCCCCCCC(C)C)=O
Astin I	CCC(NC(C1N(C(C(NC(CC(C2=CC=CC=C2)NC3=O)=O)CC)=O)CC(C1O)Cl)=O)C(NC3CO)=O
Pithomycolide	O=C(OC(C(C)C)C(N(C)C(C)C(NC(C(OC(C1)C2=CC=CC=C2)=O)C)=O)=O)CC(C3=CC=CC=C3)OC1=O
Kanamycin B	NCCC(C(NC1CC(N)C(OC2OC(CN)CCC2N)C(C1OC(OC(C3O)CO)C(C3N)O)O)=O)O
Canthiumine	CN(C)C(CC1=CC=CC=C1)C(NC2C(N3C(CCC3)C(N/C=C\C4=CC=C(OC2C5=CC=CC=C5)C=C4)=O)=O)=O
Adouetine Y_p	CC(C)C(C(C1=O)NC(C(CC2=CC=CC=C2)N(C)C)=O)OC3=CC=C(C(O)CNC(C(C(CC)C)N1)=O)C=C3
Milnamide A	CN1C2=C(C=CC=C2)C3=C1C(N(C)C(C(NC(C(C)(C)C)C(N(C)C(C(C)C)/C=C(C)/C(O)=O)=O)=O)C3(C)C)=O
Sanjoinine G<p2>1<p0>	O=C(C1NC(C(N(C)C)CC2=CC=CC=C2)=O)NC(C(NCC(O)C3=CC=C(OC1C(C)C)C=C3)=O)CC(C)C
Scutianine C	O=C(C(NC(C(N(C)C)C(CC)C)=O)C(OC1=CC=C2C=C1)C(C)C)NC(C(NCC2O)=O)CC3=CC=CC=C3
OA 6129C	O=C([C@@]([C@@H](C)OS(=O)(O)=O)([H])[C@@]1([H])C2)N1C(C(O)=O)=C2SCCNC(CCNC([C@H](O)C(C)(C)CO)=O)=O
Antibiotic OA 6129B<p2>1<p0>	OCC(C)(C)C(O)C(NCCC(NCCSC1=C(C(O)=O)N2C(C(C2C1)C(C)OS(O)(=O)=O)=O)=O)=O
Vignatic acid A	O=C(NC1CC2=CC=CC=C2)C(NC(C(CC(C)C)O)=O)C(C(C)C)OC3=CC=C(CC(NC1=O)C(O)=O)C=C3
Isariins	CC(C)CC(NC(C(C(C)C)NC(CN1)=O)=O)C(NC(C)C(NC(C(C)C)C(OC(CCC)CC1=O)=O)=O)=O
SAB 711	N=C(N)NCCCC(NC(C(CC(C)C)NC(C(CC(C)C)NC(C(C(C)CC)NC(CC)=O)=O)=O)=O)C=O
Antibiotic SAB 711	O=C(NC(C(NC(CC(C)C)C(NC(C=O)CCCNC(N)=N)=O)=O)CC(C)C)C(C(CC)C)NC(CC)=O
Topostin B553	CCCCCCCCCCCCCC(OC(CCCCCCCCCCCC(C)C)=O)CC(NCC(O)=O)=O
Miharamycin-A	N=C(N)N(O)CCCC(N)C(N[C@H](C(O)=O)[C@H]([C@H]1O)O[C@@H](N(C=N2)C3=C2C=NC(N)=N3)[C@H](OC4)[C@]1(O)[C@H]4O)=O
Antibiotic TMC 2A	OC1=CC2=C(CN(C(C(N)CC3=CNC4=CC=CC=C34)=O)C(C(NC(CC(C)CO)C(O)=O)=O)C2)C(O)=C1OC
Elastatinal B	O=C(NC(CCC(N)=O)C(NC(C)C(C(C)=O)=O)=O)C(NC(NC(C(O)=O)CC(C)C)=O)C1CCNC(N1)=N
Elastatinal C	O=C(NC(CCC(N)=O)C(NC(C)C(C1OC1)=O)=O)C(NC(NC(C(O)=O)CC(C)C)=O)C2CCNC(N2)=N
Pyloricidin D	OCC(NC(C(CC(C)C)NC(C(N)C(C)C)=O)=O)C(O)C(O)C(O)C(NC(CC(O)=O)C1=CC=CC=C1)=O
Sativanine O	O=C(NC1CC2=CC=CC=C2)C3N(C(C(N)CC4=CC=CC=C4)=O)CCC3OC5=CC(OC)=C(/C=C\NC1=O)C=C5
PF-1070-B	O=C([C@H](C(C)CC)NC1=O)N(CCC2)[C@@H]2C(NC(C(N[C@@H]1CC3=CC=CC=C3)=O)CCCCCC(C4OC4)=O)=O
Antibiotic PF 1070B	O=C(C(CC1=CC=CC=C1)NC(C(N2)CCCCCC(C3CO3)=O)=O)NC(C(C)CC)C(N4CCCC4C2=O)=O
Condaline A	O=C1C(NC(C(CC2=CC=CC=C2)NC)=O)C(C3=CC=CC=C3)OC4=CC=C(/C=C\NC(C(C(C)CC)N1)=O)C=C4
Integerressine	O=C1N/C=C\C2=CC=C(C=C2)OC(C3=CC=CC=C3)C(C(NC1CC4=CC=CC=C4)=O)NC(C(N(C)C)C(C)C)=O
Pantethine	OCC(C)(C(C(NCCC(NCCSSCCNC(CCNC(C(C(C)(CO)C)O)=O)=O)=O)=O)O)C
Epoxomicin	CCC(C(N(C(C)=O)C)C(NC(C(NC(C(NC(C(C1(CO1)C)=O)CC(C)C)=O)C(O)C)=O)C(CC)C)=O)C
Capuramycin	O=C1N=C(O)C=CN1C(O2)C(O)C(O)C2C(C(N)=O)OC(O3)C(O)C(O)C=C3C(NC4CCCCNC4=O)=O
Antibiotic UCH 15A	O=C(NC1=CNC(C(NC(C#N)CC(NC(C=O)C/C=C/CN)=O)=O)=C1)C2=CC(NC(CNC(NO)=N)=O)=CN2
Pyrronamycin A	N/C(NCC(NC1=CNC(C(NC2=CNC(C(NC(C#N)CC(NC(C/C=C/CN)C=O)=O)=O)=C2)=O)=C1)=O)=N\O
Butirosin A; Ambutyrosin A; C1-642; BU-1709-A1	O=C([C@@H](O)CCN)N[C@H](C1)[C@H](O)[C@@H](O[C@H](O[C@@H]2CO)[C@H](O)[C@H]2O)[C@@H]([C@H]1N)O[C@@H](O[C@H](CN)[C@H]3O)[C@H](N)[C@H]3O
Ribostamycin	OC(C1OC2OC(C(C2O)O)CO)C(NC(C(O)CCN)=O)CC(C1OC(C(C3O)N)OC(C3O)CN)N
Fellutamide-B; 1656-B	O=C([C@@H](NC(C[C@@H](CCCCCCCCC)O)=O)CC(N)=O)N[C@](CCC(N)=O)([H])C(NC(CC(C)C)C=O)=O
Malyngamide E	O=C(C1(C)C)C(C(O)C(C1O)C)C(C(NC(CC/C=C/CC(OC)CC(C)CCCCCCC)=O)COC)O
Butirosin 1709E2; BU-1709-E2	O=C([C@@H](O)CCN)N[C@H](C1)[C@H](O)[C@@H](O[C@H](O[C@@H]2CO)[C@H](O)[C@@H]2O)[C@@H]([C@H]1N)O[C@@H](O[C@H](CO)[C@H]3O)[C@H](N)[C@H]3O
Ribostamycin	OC(C1OC2OC(C(C2O)O)CO)C(NC(C(O)CCN)=O)CC(C1OC(C(C3O)N)OC(C3O)CO)N
Guadinomine C<p2>1<p0>	N=C1NC(CC(O)C(O)CCC2C(C(NC(C)C(NC(C(C)C)C(O)=O)=O)=O)NC(C)C(N2)=O)CN1C(N)=O
Guadinomine C<p2>1<p0>	N=C1NC(CC(O)C(O)CCC2C(C(NC(C)C(NC(C(C)C)C(O)=O)=O)=O)NC(C)C(N2)=O)CN1C(N)=O
Banyascyclamide C	CC(O)C(NC(C(CC1=CC=CC=C1)NC2=O)=O)C(NC(C)C3=NC(C(NC(C)C4=NC2=CS4)=O)=CS3)=O
Didmolamide B	CC(NC(C1=CSC(C(C)NC(C(NC2=O)C(O)C)=O)=N1)=O)C3=NC(C(NC2CC4=CC=CC=C4)=O)=CS3
<h1>N<h0>-Methyltyrosyl-<h1>N<h0>-methyltyrosylleucylalanine	CNC(C(N(C)C(C(NC(C(NC(C(O)=O)C)=O)CC(C)C)=O)CC1=CC=C(C=C1)O)=O)CC2=CC=C(O)C=C2
Antibiotic FR 235222	O=C(NC(C(N1C(CC(C)C1)C2=O)=O)CC3=CC=CC=C3)C(C)(CC)NC(C(CCCCCC(C(O)C)=O)N2)=O
4,5-Dihydroxytryptamine	OC1=C(O)C2=C(NC=C2CCNC(CCCCCCCCCCCCCCCCCCCCCCCC)=O)C=C1
Tunichrome Pm 1	OC1=CC(/C=C\NC(C(NC(C(CC2=CC(O)=C(O)C(O)=C2)N)=O)CC3=CC(O)=C(O)C(O)=C3)=O)=CC(O)=C1O
LL-BM-547a; Tuberactinamine A; Deslysil-viomycin	N=C(N[C@H](O)C1)N[C@@]1([H])[C@@](C(NC[C@@H]2N)=O)([H])NC(/C(NC([C@H](CO)NC([C@H](CO)NC2=O)=O)=O)=C/NC(N)=O)=O
Antibiotic LL-BM 547^a	N=C1NC(O)CC(C(C(NCC(C(NC(C(NC2CO)=O)CO)=O)N)=O)NC(/C(NC2=O)=C/NC(N)=O)=O)N1
Phomalide	O=C(N/C(C(OC(C(OC(C(NC(C1=O)CC(C)C)=O)CC(C)C)=O)CC2=CC=CC=C2)=O)=C\C)C(N1)C(C)C
Nummularine P	CNC(C)C(NC(C(C)C)C(N1C(C2CC1)C(NC(CC(C)C)C(N/C=C/C3=C(OC)C=CC(O2)=C3)=O)=O)=O)=O
Sativanine C	COC1=CC=C(OC(CCN2C(C(C(C)C)NC(C(NC)C)=O)=O)C2C3=O)C=C1/C=C\NC(C(C(C)CC)N3)=O
Sativanine H	CN(C)CC(NC(C(C)C)C(N1C(C(NC(C(N/C=C\C2=C(OC)C=CC3=C2)=O)CC(C)C)=O)C(O3)CC1)=O)=O
Amphibine G	O=C(N1C(C(CC1)OC(C=C2)=CC=C2/C=C\NC(C3CC(C)C)=O)C(N3)=O)C(N(C)C)CC4=CNC5=C4C=CC=C5
Hemsine A	O=C(NC1C(CC)C)C2N(C(C(CC3=CNC4=C3C=CC=C4)N(C)C)=O)CCC2OC5=CC=C(/C=C\NC1=O)C=C5
Taumycin A	O=C1CC(NC(C(C)CC)C(NC(C(C)CC)C(OC(/C=C(C)/CC(C)C/C(C)=C/C2=CN=CO2)C1C)=O)=O)=O
Pyridomycin	OC1=CC=CN=C1C(NC2C(C)OC(C(C(CC)(O)C)OC(C(C)C(O)C(NC2=O)CC3=CN=CC=C3)=O)=O)=O
Ustiloxin C	CC(C(NC1C(NCC(O)=O)=O)=O)NC(C(NC)C(C(C=C2OC1(CC)C)=C(C=C2O)S(CCO)=O)O)=O
Antibiotic FR 901375	O=C(NC1CSSCC/C=C\C(OC(C(C(O)C)NC1=O)=O)C2)C(C(C)C)NC(C(C(C)C)NC2=O)=O
<h1>N<h0>-Alkylvaline <h1>N<h0>-butylglucosamine esters	OCC1OC(OC(C(NC(CCCCCCCCCCCCC)=O)C(C)C)=O)C(NC(CCC)=O)C(O)C1O
Glycylalanylprolylmethionylphenylalanylvalinamide	NCC(NC(C)C(N1C(CCC1)C(NC(C)C(NC(CC2=CC=CC=C2)C(NC(C(C)C)C(N)=O)=O)=O)=O)=O)=O
Americine	O=C(N1)C(NC(C(C(C)C)N(C)C)=O)C(C(C)C)OC(C=C2)=CC=C2/C=C\NC(C1CC3=CNC4=C3C=CC=C4)=O
Discarine B	O=C(C(NC(C(C(C)CC)NC)=O)C(C(C)C)O1)NC(CC2=CNC3=C2C=CC=C3)C(N/C=C\C4=CC=C1C=C4)=O
Ergocryptam	O=C(C1CCCN1C2=O)N(C2CC(C)C)C(C(NC(C(C=C34)CN(C)C3CC5=CNC6=CC=CC4=C65)=O)C(C)C)=O
Periconin B	CC(O)CC(Cl)C1(Cl)C(C(NC(CC(O)=O)C(NC2C(NC(CN)CC2)=O)=O)=O)C1C(C(O)=O)Cl
Peritoxin A	CC(O)CC(Cl)C(C1C(C(O)=O)Cl)(Cl)C1C(NC(CC(O)=O)C(NC2C(NCC(N)CC2)=O)=O)=O
Synechobactin A	O=C(CC(C(O)=O)(O)CC(NCCCN(O)C(CCCCCCCCCCC)=O)=O)NCCCN(O)C(C)=O
