NAME	Molecular Weight	SMILE Format	SOURCE	ACTIVITY
Astin E	550.009	CCC(NC(CC(NC(C(CO)NC(C(C(O)C)NC(C1N2C(Cl)=CC1)=O)=O)=O)C3=CC=CC=C3)=O)C2=O		
Geodiamolide A	550.093	O=C(NC(C)C(OC(C)CC(C)/C=C(C)/CC(C)C(NC(C1=O)C)=O)=O)C(N1C)CC(C=C2Cl)=CC=C2O		
Raocyclamide A	550.634	O=C(C1=CSC(C(NC(C2=COC3=N2)=O)C(C)CC)=N1)NC(CC4=CC=CC=C4)C5=NC(C(NC3C)=O)CO5		
Aphelandrine	550.656	OC1=CC=C(C(C2C(N3CCCCN(OC(C)=O)CCCNC4CC(NCCC3)=O)=O)OC5=C2C=C4C=C5)C=C1		
Frangufoline	550.7	CC(C(C(C(NC1C(O)C(C)C)=O)NC(C(N(C)C)CC2=CC=CC=C2)=O)OC3=CC=C(/C=C\NC1=O)C=C3)C		
Scutianine C	550.7	CC(C(C(C(NC1C(C2=CC=CC=C2)O)=O)NC(C(N(C)C)C(CC)C)=O)OC(C=C3)=CC=C3/C=C\NC1=O)C		
Bulgecin A; beta-Lactam activator F2	551.535	O=S(O[C@H]1[C@H](O)[C@@H](NC(C)=O)[C@H](O[C@@H]2[C@@H](CO)N[C@H](C(NCCS(=O)(O)=O)=O)C2)O[C@@H]1CO)(O)=O	[B] Pseudomonas acidophila g-6302 (ATCC 31363, FERM-p 4344, IFO 13774), Pseudomonas medoacidophila sb 72310 (ATCC 31433, FERM-p 4653, IFO 13884)	
Bulgecin A	551.535	O=C(C)NC1C(OC(CO)C(OS(O)(=O)=O)C1O)OC2CC(C(NCCS(O)(=O)=O)=O)NC2CO		
Jacpaniculine	551.592	OC1=CC=C(C=C1OC)C2C(C(C(C3=CC(OC)=C(O)C=C3)O2)C(NCCC4=CC=C(O)C=C4)=O)COC(C)=O		
Jacpaniculine	551.592	OC1=CC=C(C=C1OC)C2C(C(C(C3=CC(OC)=C(O)C=C3)O2)C(NCCC4=CC=C(O)C=C4)=O)COC(C)=O		
N-[14-Methyl-3-(13-methyl-4Z-tetradecenoyloxy)-pentadecanoyl]glycine	551.853	O=C(NCC(O)=O)C[C@H](CCCCCCCCCCC(C)C)OC(CC/C=C\CCCCCCCC(C)C)=O	[B] marine bacterium Cytophaga sp. SANK 71996	(N-type calcium channel blocker, )
Astin I	552.025	CCC(NC(C1N(C(C(NC(CC(C2=CC=CC=C2)NC3=O)=O)CC)=O)CC(C1O)Cl)=O)C(NC3CO)=O		
Pithomycolide	552.624	O=C(OC(C(C)C)C(N(C)C(C)C(NC(C(OC(C1)C2=CC=CC=C2)=O)C)=O)=O)CC(C3=CC=CC=C3)OC1=O		
Kanamycin B	552.626	NCCC(C(NC1CC(N)C(OC2OC(CN)CCC2N)C(C1OC(OC(C3O)CO)C(C3N)O)O)=O)O		
Canthiumine	552.675	CN(C)C(CC1=CC=CC=C1)C(NC2C(N3C(CCC3)C(N/C=C\C4=CC=C(OC2C5=CC=CC=C5)C=C4)=O)=O)=O		
Adouetine Y_p	552.716	CC(C)C(C(C1=O)NC(C(CC2=CC=CC=C2)N(C)C)=O)OC3=CC=C(C(O)CNC(C(C(CC)C)N1)=O)C=C3		
Milnamide A	552.716	CN1C2=C(C=CC=C2)C3=C1C(N(C)C(C(NC(C(C)(C)C)C(N(C)C(C(C)C)/C=C(C)/C(O)=O)=O)=O)C3(C)C)=O		
Sanjoinine G<p2>1<p0>	552.716	O=C(C1NC(C(N(C)C)CC2=CC=CC=C2)=O)NC(C(NCC(O)C3=CC=C(OC1C(C)C)C=C3)=O)CC(C)C		
Scutianine C	552.716	O=C(C(NC(C(N(C)C)C(CC)C)=O)C(OC1=CC=C2C=C1)C(C)C)NC(C(NCC2O)=O)CC3=CC=CC=C3		
OA 6129C	553.598	O=C([C@@]([C@@H](C)OS(=O)(O)=O)([H])[C@@]1([H])C2)N1C(C(O)=O)=C2SCCNC(CCNC([C@H](O)C(C)(C)CO)=O)=O	(A) Streptomyces sp. oa-6129 (FERM-bp 11, FERM-p 5714). S. fulv      Oviridis 1501 S. sp. OA 6129	(g-pos., ) (g-neg.,)
Antibiotic OA 6129B<p2>1<p0>	553.598	OCC(C)(C)C(O)C(NCCC(NCCSC1=C(C(O)=O)N2C(C(C2C1)C(C)OS(O)(=O)=O)=O)=O)=O		
Vignatic acid A	553.656	O=C(NC1CC2=CC=CC=C2)C(NC(C(CC(C)C)O)=O)C(C(C)C)OC3=CC=C(CC(NC1=O)C(O)=O)C=C3		
Isariins	553.701	CC(C)CC(NC(C(C(C)C)NC(CN1)=O)=O)C(NC(C)C(NC(C(C)C)C(OC(CCC)CC1=O)=O)=O)=O		
SAB 711	553.749	N=C(N)NCCCC(NC(C(CC(C)C)NC(C(CC(C)C)NC(C(C(C)CC)NC(CC)=O)=O)=O)=O)C=O	(A) S. kaizukaensis sab-711 (FERM-p 6459)	(Protease inhib.)
Antibiotic SAB 711	553.749	O=C(NC(C(NC(CC(C)C)C(NC(C=O)CCCNC(N)=N)=O)=O)CC(C)C)C(C(CC)C)NC(CC)=O		
Topostin B553	553.869	CCCCCCCCCCCCCC(OC(CCCCCCCCCCCC(C)C)=O)CC(NCC(O)=O)=O		
Miharamycin-A	554.521	N=C(N)N(O)CCCC(N)C(N[C@H](C(O)=O)[C@H]([C@H]1O)O[C@@H](N(C=N2)C3=C2C=NC(N)=N3)[C@H](OC4)[C@]1(O)[C@H]4O)=O	S.miharaensis	(phyt. bact., .1) (phyt.fungi, .1)
Antibiotic TMC 2A	554.6	OC1=CC2=C(CN(C(C(N)CC3=CNC4=CC=CC=C34)=O)C(C(NC(CC(C)CO)C(O)=O)=O)C2)C(O)=C1OC		
Elastatinal B	554.605	O=C(NC(CCC(N)=O)C(NC(C)C(C(C)=O)=O)=O)C(NC(NC(C(O)=O)CC(C)C)=O)C1CCNC(N1)=N		
Elastatinal C	554.605	O=C(NC(CCC(N)=O)C(NC(C)C(C1OC1)=O)=O)C(NC(NC(C(O)=O)CC(C)C)=O)C2CCNC(N2)=N		
Pyloricidin D	554.641	OCC(NC(C(CC(C)C)NC(C(N)C(C)C)=O)=O)C(O)C(O)C(O)C(NC(CC(O)=O)C1=CC=CC=C1)=O		
Sativanine O	554.647	O=C(NC1CC2=CC=CC=C2)C3N(C(C(N)CC4=CC=CC=C4)=O)CCC3OC5=CC(OC)=C(/C=C\NC1=O)C=C5		
PF-1070-B	554.688	O=C([C@H](C(C)CC)NC1=O)N(CCC2)[C@@H]2C(NC(C(N[C@@H]1CC3=CC=CC=C3)=O)CCCCCC(C4OC4)=O)=O	Humicola sp. PF 1070 (FERM p-11999)	(antifungal, weak) (cytotoxic, weak) (P 388 leukemia, 0.0017)
Antibiotic PF 1070B	554.688	O=C(C(CC1=CC=CC=C1)NC(C(N2)CCCCCC(C3CO3)=O)=O)NC(C(C)CC)C(N4CCCC4C2=O)=O		
Condaline A	554.691	O=C1C(NC(C(CC2=CC=CC=C2)NC)=O)C(C3=CC=CC=C3)OC4=CC=C(/C=C\NC(C(C(C)CC)N1)=O)C=C4		
